Asset Name,Asset Type,Cloud,Critical Alerts,High Alerts,Medium Alerts,Low Alerts,Informational Alerts,Critical Vulnerability,High Vulnerability,Medium Vulnerability,Low Vulnerability,Account ID,Account Name,Asset ID,Region ID,Region,Actions
"Atlantis-instance","EC2 Instance","aws",31,4,1,0,0,29,233,672,44,"851725545841","blockchaindev - 851725545841","i-0f974385cf8caecad","ap-northeast-2","AWS Seoul",
"uplus-rabbitmq-common-master","EC2 Instance","aws",20,5,2,0,0,4,330,1019,31,"771097826720","anypointmedia - uplus - 771097826720","i-0baa780bdcb9a0e14","ap-northeast-2","AWS Seoul",
"prod-bi-server","EC2 Instance","aws",20,5,2,0,0,44,180,633,138,"771097826720","anypointmedia - uplus - 771097826720","i-0fac195ec2900f374","ap-northeast-2","AWS Seoul",
"prod-bi-worker","EC2 Instance","aws",20,5,2,0,0,43,178,629,138,"771097826720","anypointmedia - uplus - 771097826720","i-02d9b9b2784e03816","ap-northeast-2","AWS Seoul",
"uplus-redis","EC2 Instance","aws",20,5,2,0,0,8,344,271,50,"771097826720","anypointmedia - uplus - 771097826720","i-0775c388992258fcf","ap-northeast-2","AWS Seoul",
"uplus-rabbitmq-common-slave","EC2 Instance","aws",20,5,2,0,0,4,548,1774,42,"771097826720","anypointmedia - uplus - 771097826720","i-0faf02a81f13effeb","ap-northeast-2","AWS Seoul",
"uplus-env-manager-prod","EC2 Instance","aws",20,3,1,0,0,9,169,440,29,"771097826720","anypointmedia - uplus - 771097826720","i-0983935963922f54a","ap-northeast-2","AWS Seoul",
"uplus-assign-dashboard-prod","EC2 Instance","aws",20,3,1,0,0,10,175,446,28,"771097826720","anypointmedia - uplus - 771097826720","i-069d69d76555bdf87","ap-northeast-2","AWS Seoul",
"uplus-assign-tuner-prod","EC2 Instance","aws",20,3,1,0,0,35,214,451,29,"771097826720","anypointmedia - uplus - 771097826720","i-06a388c61803fd11c","ap-northeast-2","AWS Seoul",
"uplus-assign-event-prod","EC2 Instance","aws",20,3,1,0,0,10,172,447,28,"771097826720","anypointmedia - uplus - 771097826720","i-0c161645438538bf0","ap-northeast-2","AWS Seoul",
"uplus-api-stats-prod","EC2 Instance","aws",20,3,1,0,0,35,235,456,31,"771097826720","anypointmedia - uplus - 771097826720","i-0e1a702ef1c32d9b3","ap-northeast-2","AWS Seoul",
"uplus-device-worker-prod","EC2 Instance","aws",19,3,1,0,0,23,91,74,11,"771097826720","anypointmedia - uplus - 771097826720","i-0e1b2e19f01832521","ap-northeast-2","AWS Seoul",
"uplus-device-worker-prod","EC2 Instance","aws",19,3,1,0,0,23,91,74,11,"771097826720","anypointmedia - uplus - 771097826720","i-07d8853ee4e89f3af","ap-northeast-2","AWS Seoul",
"uplus-device-api-gateway-prod","EC2 Instance","aws",19,3,1,0,0,23,80,64,11,"771097826720","anypointmedia - uplus - 771097826720","i-016b8a4d5bddc16b9","ap-northeast-2","AWS Seoul",
"uplus-device-api-gateway-prod","EC2 Instance","aws",19,3,1,0,0,23,80,64,11,"771097826720","anypointmedia - uplus - 771097826720","i-08d739bd118beca70","ap-northeast-2","AWS Seoul",
"art-device-gateway-prod","EC2 Instance","aws",19,3,1,0,0,23,80,64,11,"771097826720","anypointmedia - uplus - 771097826720","i-02cdff8d40d86c941","ap-northeast-2","AWS Seoul",
"art-device-gateway-prod","EC2 Instance","aws",19,3,1,0,0,23,80,64,11,"771097826720","anypointmedia - uplus - 771097826720","i-019996adac49eca27","ap-northeast-2","AWS Seoul",
"art-device-gateway-prod","EC2 Instance","aws",19,3,1,0,0,23,80,64,11,"771097826720","anypointmedia - uplus - 771097826720","i-025e6cd6c15ad692a","ap-northeast-2","AWS Seoul",
"art-device-gateway-prod","EC2 Instance","aws",19,3,1,0,0,23,80,64,11,"771097826720","anypointmedia - uplus - 771097826720","i-045c4bdb10ac1485e","ap-northeast-2","AWS Seoul",
"uplus-assign-prod","EC2 Instance","aws",18,3,1,0,0,32,92,43,11,"771097826720","anypointmedia - uplus - 771097826720","i-057fcee7e3d9732f3","ap-northeast-2","AWS Seoul",
"art-assign-prod-v2","EC2 Instance","aws",18,3,1,0,0,32,93,43,11,"771097826720","anypointmedia - uplus - 771097826720","i-096d6445b48688ec3","ap-northeast-2","AWS Seoul",
"art-assign-prod-v2","EC2 Instance","aws",18,3,1,0,0,32,93,43,11,"771097826720","anypointmedia - uplus - 771097826720","i-0e84d0ede5606ba3d","ap-northeast-2","AWS Seoul",
"art-assign-prod-v2","EC2 Instance","aws",18,3,1,0,0,32,93,43,11,"771097826720","anypointmedia - uplus - 771097826720","i-0cd548e4a0344608a","ap-northeast-2","AWS Seoul",
"uplus-assign-prod","EC2 Instance","aws",18,3,1,0,0,32,92,43,11,"771097826720","anypointmedia - uplus - 771097826720","i-09fa831abc2f5f819","ap-northeast-2","AWS Seoul",
"uplus-assign-prod","EC2 Instance","aws",18,3,1,0,0,32,92,43,11,"771097826720","anypointmedia - uplus - 771097826720","i-0e69f8c64a8791eda","ap-northeast-2","AWS Seoul",
"uplus-totalad-adapter-prod-2","EC2 Instance","aws",20,2,0,0,0,8,57,72,14,"771097826720","anypointmedia - uplus - 771097826720","i-005aec9b8ecfbb5da","ap-northeast-2","AWS Seoul",
"art-assign-prod-v2","EC2 Instance","aws",18,3,1,0,0,32,93,43,11,"771097826720","anypointmedia - uplus - 771097826720","i-0c509be814b76485d","ap-northeast-2","AWS Seoul",
"art-assign-prod-v2","EC2 Instance","aws",18,3,1,0,0,32,93,43,11,"771097826720","anypointmedia - uplus - 771097826720","i-0925330d814646617","ap-northeast-2","AWS Seoul",
"art-assign-prod-v2","EC2 Instance","aws",18,3,1,0,0,32,93,43,11,"771097826720","anypointmedia - uplus - 771097826720","i-080542105f8a6ecf2","ap-northeast-2","AWS Seoul",
"ec2-az2a-luiot-prd-p2prelay2","EC2 Instance","aws",10,3,2,0,0,12,230,586,369,"743932516527","svcalliance3 - 743932516527","i-09963ce82d5e39ec4","ap-northeast-2","AWS Seoul",
"ec2-az2a-luiot-prd-coap2","EC2 Instance","aws",10,3,2,0,0,12,230,586,369,"743932516527","svcalliance3 - 743932516527","i-0e8b3619d12f8c6cc","ap-northeast-2","AWS Seoul",
"ec2-az2a-luiot-prd-p2prelay1","EC2 Instance","aws",10,3,2,0,0,12,230,586,369,"743932516527","svcalliance3 - 743932516527","i-023f9105d44784527","ap-northeast-2","AWS Seoul",
"ec2-az2a-luiot-prd-coap5","EC2 Instance","aws",10,3,2,0,0,12,230,586,369,"743932516527","svcalliance3 - 743932516527","i-01eebd25ab606567a","ap-northeast-2","AWS Seoul",
"ec2-az2c-luiot-prd-coap4","EC2 Instance","aws",10,3,2,0,0,12,230,586,370,"743932516527","svcalliance3 - 743932516527","i-08863e2fc2086597a","ap-northeast-2","AWS Seoul",
"ec2-az2c-luiot-prd-p2prelay3","EC2 Instance","aws",10,3,2,0,0,12,230,586,369,"743932516527","svcalliance3 - 743932516527","i-081a634f1b8f789ac","ap-northeast-2","AWS Seoul",
"ec2-az2a-luiot-prd-p2p1","EC2 Instance","aws",10,3,2,0,0,12,230,586,370,"743932516527","svcalliance3 - 743932516527","i-0e2c478d7d6b8423d","ap-northeast-2","AWS Seoul",
"ec2-az2a-luiot-prd-coap1","EC2 Instance","aws",10,3,2,0,0,12,230,586,369,"743932516527","svcalliance3 - 743932516527","i-0ffb2ed06207e3b46","ap-northeast-2","AWS Seoul",
"ec2-az2c-luiot-prd-coap3","EC2 Instance","aws",10,3,2,0,0,12,230,586,369,"743932516527","svcalliance3 - 743932516527","i-0d86d5ac7bde2ca77","ap-northeast-2","AWS Seoul",
"ec2-az2c-luiot-prd-p2p3","EC2 Instance","aws",10,3,2,0,0,12,230,586,369,"743932516527","svcalliance3 - 743932516527","i-0694a00d6a8ec3519","ap-northeast-2","AWS Seoul",
"ec2-az2c-luiot-prd-p2p2","EC2 Instance","aws",10,3,2,0,0,12,230,586,370,"743932516527","svcalliance3 - 743932516527","i-0842ee857bf1be296","ap-northeast-2","AWS Seoul",
"nodeg-prd-mpay-eksweb-ng-1-30","EC2 Instance","aws",11,3,1,0,0,5,152,410,21,"575219035219","LGUplus_micropay_prod - 575219035219","i-09b760049ea6ec7f7","ap-northeast-2","AWS Seoul",
"nodeg-prd-mpay-eksweb-ng-1-30","EC2 Instance","aws",11,3,1,0,0,5,152,410,21,"575219035219","LGUplus_micropay_prod - 575219035219","i-08ba09102424c1593","ap-northeast-2","AWS Seoul",
"nodeg-prd-mpay-eksweb-ng-1-30","EC2 Instance","aws",11,3,1,0,0,6,155,412,21,"575219035219","LGUplus_micropay_prod - 575219035219","i-0cd226274c43a84f6","ap-northeast-2","AWS Seoul",
"nodeg-prd-mpay-eksweb-ng-1-30","EC2 Instance","aws",11,3,1,0,0,6,155,412,21,"575219035219","LGUplus_micropay_prod - 575219035219","i-08ed5f3b2714eff85","ap-northeast-2","AWS Seoul",
"timbel-tts","EC2 Instance","aws",8,4,2,0,0,13,100,1500,83,"932507484725","aws-AICC-bmt - 932507484725","i-02ed847bf9ee28e9e","ap-northeast-2","AWS Seoul",
"ec2-az2c-luiot-prd-nginx2","EC2 Instance","aws",10,3,1,0,0,12,230,577,366,"743932516527","svcalliance3 - 743932516527","i-083d0da13e8851bc3","ap-northeast-2","AWS Seoul",
"ec2-az2a-luiot-prd-nginx1","EC2 Instance","aws",10,3,1,0,0,12,230,577,387,"743932516527","svcalliance3 - 743932516527","i-01b4b4b1c9f74f68a","ap-northeast-2","AWS Seoul",
"ec2-az01-prod-nai-push-wst1","EC2 Instance","aws",10,3,1,0,0,34,1057,1275,303,"671525817192","LG U Plus Prod - 671525817192","i-0de8a367c93bbfe54","ap-northeast-2","AWS Seoul",
"ec2-az02-prod-nai-push-wst2","EC2 Instance","aws",10,3,1,0,0,30,1049,1257,293,"671525817192","LG U Plus Prod - 671525817192","i-0400f45f27ab8e72c","ap-northeast-2","AWS Seoul",
"ec2-az02-prod-nai-push-wst1","EC2 Instance","aws",10,3,1,0,0,34,1057,1275,303,"671525817192","LG U Plus Prod - 671525817192","i-0336b9f57452229b0","ap-northeast-2","AWS Seoul",
"ec2-az01-prod-nai-push-wst2","EC2 Instance","aws",10,3,1,0,0,30,1049,1257,293,"671525817192","LG U Plus Prod - 671525817192","i-09b640a0a3828a660","ap-northeast-2","AWS Seoul",
"ec2-prd-livc-record-2","EC2 Instance","aws",6,5,2,0,0,13,631,1276,216,"105245712681","eduworks - 105245712681","i-0ce53cd53ae5e8f32","ap-northeast-2","AWS Seoul",
"ec2-prd-livc-turn-2","EC2 Instance","aws",6,5,2,0,0,13,631,1276,216,"105245712681","eduworks - 105245712681","i-04b9954371d621626","ap-northeast-2","AWS Seoul",
"ec2-prd-livc-turn-1","EC2 Instance","aws",6,5,2,0,0,13,632,1276,216,"105245712681","eduworks - 105245712681","i-0792cfcd0d5cb942d","ap-northeast-2","AWS Seoul",
"ec2-prd-livc-record-1","EC2 Instance","aws",6,5,2,0,0,13,631,1276,216,"105245712681","eduworks - 105245712681","i-02bb5ae41fdd002bf","ap-northeast-2","AWS Seoul",
"ec2-prd-livc-fdcms-2","EC2 Instance","aws",6,5,2,0,0,13,631,1276,216,"105245712681","eduworks - 105245712681","i-0844623e49bdeebce","ap-northeast-2","AWS Seoul",
